kode,keterangan_bersih
1301,tani tanam hias kelompok cakup giat tani budi daya tanam hias daun tanam hias bunga hidup bonsai suplir kuping gajah helikonia pisang pisang dracaena filodendron monstera cordyline anturium daun pakis aglonema difenbacia sansifera lidah mertua caladium keladi palem tanam hias bunga anggrek mawar adenium kamboja jepang anturium bunga euforbia ixora soka kelompok cakup tanam tumbuh tuju ornamental tanah umput transplantasi giat tani tanam hias cakup giat olah lahan tanam pelihara panen giat pascapanen rangkai giat
1302,tangkar tumbuh liar kelompok cakup giat tangkar tumbuh liar biak vegetatif batang stek potong bibit langsung pengembangbiakan tanam
1309,biak tanam kelompok cakup produksi benih tanam cakup kelompok vegetatif batang stek potong bibit langsung banyak tanam buat batang okulasi tanam kelompok cakup giat tanam tumbuh tanam tanam tumbuh hidup umbi umbi akar akar potong stek cangkok spawn jamur kebun bibit tanam kecuali kebun bibit tanam hutan giat semai cabai kelompok
1411,budi daya bibit sapi potong kelompok cakup giat budi daya sapi potong gemuk hasil sapi potong giat bibit hasil ternak bibit sapi potong semen embrio
1412,budi daya bibit sapi perah kelompok cakup giat budi daya sapi perah gemuk produksi susu giat bibit hasil bibit ternak sapi perah semen embrio
1413,budi daya bibit kerbau potong kelompok cakup giat budi daya kerbau potong gemuk hasil kerbau potong bibit hasil bibit ternak kerbau potong semen embrio
1414,budi daya bibit kerbau perah kelompok cakup giat budi daya kerbau perah gemuk produksi susu giat bibit hasil bibit ternak kerbau perah semen embrio
1420,terna kuda jenis kelompok cakup giat budi daya kuda hasil kuda kuda potong kuda perah kuda pacu kuda tunggang kuda tarik kuda kavaleri kuda polo kuda sayang bagal hinni jenis giat bibit kuda jenis hasil bibit kuda jenis semen embrio kelompok cakup produksi susu kuda jenis kelompok cakup kelola kandang kuda balap kuda olahraga
1430,terna unta jenis kelompok cakup giat budi daya hasil unta potong unta perah hewan jenis llama alpaka vicunas guanacos giat bibit hasil bibit unta jenis semen embrio kelompok cakup produksi susu unta hewan jenis
1441,budi daya bibit domba potong kelompok cakup giat budi daya domba potong gemuk hasil domba potong giat bibit hasil bibit ternak domba potong semen embrio
1442,budi daya bibit kambing potong kelompok cakup giat budi daya gemuk hasil kambing potong giat bibit hasil bibit ternak kambing potong semen embrio
1443,budi daya bibit kambing perah kelompok cakup giat budi daya hasil susu giat bibit hasil bibit ternak kambing perah semen embrio
1444,budi daya bibit domba perah kelompok cakup giat budi daya domba perah hasil susu giat bibit hasil bibit ternak domba perah semen embrio
1445,produksi bulu domba mentah raw wool kelompok cakup giat terna produksi bulu domba wol mentah
1450,terna babi kelompok cakup giat budi daya babi gemuk hasil babi potong giat bibit babi hasil bibit ternak babi semen embrio
1461,budi daya ayam ras daging kelompok cakup giat budi daya ayam ras hasil ayam daging
1462,budi daya ayam ras telur kelompok cakup giat budi daya ayam ras hasil telur konsumsi
1463,bibit ayam lokal silang kelompok cakup giat bibit ayam lokal silang hasil bibit telur tetas ayam lokal telur daging silang
1464,budi daya ayam lokal silang kelompok cakup giat budi daya ayam lokal silang hasil ayam dara pullet ayam lokal daging potong telur konsumsi
1465,budi daya bibit itik bebek kelompok cakup giat budi daya itik bebek hasil itik bebek daging itik bebek telur telur konsumsi giat bibit hasil telur tetas bibit itik bebek
