kode,keterangan_bersih
1462,budi daya ayam ras telur kelompok cakup giat budi daya ayam ras hasil telur konsumsi lain
1463,bibit ayam lokal silang kelompok cakup giat bibit ayam lokal silang hasil bibit telur tetas ayam lokal telur daging silang
1464,budi daya ayam lokal silang kelompok cakup giat budi daya ayam lokal silang hasil ayam dara pullet ayam lokal daging siap potong telur konsumsi
1465,budi daya bibit itik bebek kelompok cakup giat budi daya itik bebek hasil itik bebek daging itik bebek telur telur konsumsi lain giat bibit hasil telur tetas bibit itik bebek
1466,budi daya bibit burung puyuh kelompok cakup giat budi daya burung puyuh hasil burung puyuh potong burung puyuh telur telur konsumsi giat bibit hasil bibit ternak burung puyuh telur tetas
1467,budi daya bibit burung merpati kelompok cakup giat budi daya burung merpati hasil burung merpati potong lain giat bibit hasil bibit ternak burung merpati telur tetas
1468,bibit ayam ras kelompok cakup giat bibit ayam ras daging ayam ras telur hasil telur tetas ayam bibit kur hasil lain
1469,budi daya bibit unggas lain kelompok cakup giat budi daya unggas lain kalkun angsa ayam mutiara hasil unggas daging unggas telur telur konsumsi giat bibit unggas sebut hasil bibit telur tetas terna lain subgolongan cakup budi daya bibit hewan semidomestik hewan lain burung unta emu burung unggas serangga kelinci hewan bulu lain produksi kulit bulu kulit reptil kulit burung terna tani operasi terna cacing bekicot keong darat budi daya ulat sutra produksi kepompong ulat sutra pelihara lebah pengembangbiakan lebah jual produksi madu lilin lebah propolis sarang lebah budi daya bibit hewan sayang ikan kucing anjing burung sayang parkit hamster subgolongan tidak cakup terna unggas produksi kulit kulit asli buru pasang perangkap operasi terna cacing laut katak buaya operasi pembudidayaan ikan titip latih hewan pelihara budi daya ikan hias operasi tempat lindung hewan lantar hewan sayang
1491,budi daya bibit burung unta kelompok cakup giat budi daya burung unta konsumsi hasil burung unta potong telur lain giat bibit hasil bibit ternak burung unta telur tetas
1492,budi daya bibit ulat sutra kelompok cakup giat budi daya bibit ulat sutra hasil kokon kepompong ulat sutra
1493,budi daya bibit lebah kelompok cakup giat budi daya bibit lebah hasil produk madu lilin lebah propolis sarang lebah giat bibit lebah
1494,budi daya bibit rusa kelompok cakup giat budi daya bibit rusa kijang hasil bibit daging kulit hasil lain
1495,budi daya bibit kelinci kelompok cakup giat budi daya bibit kelinci hasil daging kulit hasil lain
